,Unnamed: 0,Plant_ID,Date,Humidity (%),TDS Value (ppm),pH Level,Growth Days,Temperature
53,53,2,8/11/2023,73,564,6.1,9,31.9
54,54,2,8/12/2023,65,416,6.6,10,30.2
55,55,2,8/13/2023,71,664,6.4,11,30.1
56,56,2,8/14/2023,65,746,6.8,12,30.1
57,57,2,8/15/2023,75,646,6.3,13,30.1
58,58,2,8/16/2023,58,413,6.5,14,29.8
59,59,2,8/17/2023,50,487,6.7,15,29.6
60,60,2,8/18/2023,79,564,6.2,16,30.9
61,61,2,8/19/2023,56,430,6.5,17,30.8
62,62,2,8/20/2023,71,527,6.2,18,30.9
63,63,2,8/21/2023,51,704,6.3,19,30.2
64,64,2,8/22/2023,62,732,6.3,20,30.5
65,65,2,8/23/2023,69,420,6.5,21,30.8
66,66,2,8/24/2023,54,608,6.3,22,31.3
67,67,2,8/25/2023,58,687,6.3,23,31.4
68,68,2,8/26/2023,64,529,6.2,24,31.4
69,69,2,8/27/2023,78,427,6.3,25,30.1
70,70,2,8/28/2023,57,780,6.4,26,29.4
71,71,2,8/29/2023,57,508,6.2,27,28.7
72,72,2,8/30/2023,58,603,6.6,28,29.1
73,73,2,8/31/2023,56,581,6.7,29,29.2
74,74,2,9/1/2023,56,622,6.4,30,31.7
75,75,2,9/2/2023,73,598,6.5,31,31.7
76,76,2,9/3/2023,57,597,6.2,32,31.7
77,77,2,9/4/2023,61,498,6.0,33,31.7
78,78,2,9/5/2023,63,569,6.4,34,32.0
79,79,2,9/6/2023,75,697,6.3,35,32.1
80,80,2,9/7/2023,77,627,6.6,36,31.5
81,81,2,9/8/2023,61,537,6.6,37,29.8
82,82,2,9/9/2023,63,785,6.3,38,20.1
83,83,2,9/10/2023,70,428,6.7,39,31.1
84,84,2,9/11/2023,56,797,6.8,40,31.2
85,85,2,9/12/2023,66,657,6.8,41,31.2
86,86,2,9/13/2023,75,473,6.6,42,30.4
87,87,2,9/14/2023,72,689,6.3,43,29.1
88,88,2,9/15/2023,52,681,6.3,44,30.6
89,89,2,9/16/2023,79,719,6.7,45,31.5
90,90,3,8/3/2023,51,667,6.2,1,33.4
91,91,3,8/4/2023,63,632,6.1,2,33.5
92,92,3,8/5/2023,65,636,6.7,3,33.4
93,93,3,8/6/2023,62,525,6.6,4,33.4
94,94,3,8/7/2023,65,735,6.0,5,33.4
95,95,3,8/8/2023,80,794,6.4,6,32.3
96,96,3,8/9/2023,80,691,6.2,7,32.3
97,97,3,8/10/2023,65,783,6.6,8,22.7
98,98,3,8/11/2023,62,531,6.7,9,31.9
99,99,3,8/12/2023,69,473,6.4,10,30.2
100,100,3,8/13/2023,55,745,6.1,11,30.1
101,101,3,8/14/2023,80,569,6.3,12,30.1
102,102,3,8/15/2023,63,743,6.3,13,30.1
103,103,3,8/16/2023,69,566,6.1,14,29.8
104,104,3,8/17/2023,53,671,6.6,15,29.6
105,105,3,8/18/2023,58,643,6.4,16,30.9
106,106,3,8/19/2023,67,682,6.6,17,30.8
107,107,3,8/20/2023,79,467,6.3,18,30.9
108,108,3,8/21/2023,58,714,6.7,19,30.2
109,109,3,8/22/2023,80,726,6.6,20,30.5
110,110,3,8/23/2023,79,780,6.1,21,30.8
111,111,3,8/24/2023,55,545,6.4,22,31.3
112,112,3,8/25/2023,74,630,6.6,23,31.4
113,113,3,8/26/2023,53,491,6.4,24,31.4
114,114,3,8/27/2023,80,661,6.7,25,30.1
115,115,3,8/28/2023,75,535,6.1,26,29.4
116,116,3,8/29/2023,73,629,6.6,27,28.7
117,117,3,8/30/2023,73,738,6.6,28,29.1
118,118,3,8/31/2023,69,758,6.2,29,29.2
119,119,3,9/1/2023,76,799,6.3,30,31.7
120,120,3,9/2/2023,75,577,6.2,31,31.7
121,121,3,9/3/2023,69,439,6.3,32,31.7
122,122,3,9/4/2023,50,516,6.5,33,31.7
123,123,3,9/5/2023,72,741,6.8,34,32.0
124,124,3,9/6/2023,72,492,6.0,35,32.1
125,125,3,9/7/2023,75,762,6.2,36,31.5
126,126,3,9/8/2023,78,525,6.0,37,29.8
127,127,3,9/9/2023,80,428,6.5,38,20.1
128,128,3,9/10/2023,79,794,6.3,39,31.1
129,129,3,9/11/2023,73,460,6.7,40,31.2
130,130,3,9/12/2023,69,403,6.6,41,31.2
131,131,3,9/13/2023,54,480,6.7,42,30.4
132,132,3,9/14/2023,73,747,6.1,43,29.1
133,133,3,9/15/2023,58,479,6.7,44,30.6
134,134,3,9/16/2023,73,691,6.7,45,31.5
135,135,3,9/17/2023,75,517,6.4,46,30.5
136,136,3,9/18/2023,72,549,6.6,47,29.7
137,137,4,8/3/2023,62,547,6.7,1,33.4
138,138,4,8/4/2023,54,609,6.7,2,33.5
139,139,4,8/5/2023,60,794,6.3,3,33.4
140,140,4,8/6/2023,58,562,6.0,4,33.4
141,141,4,8/7/2023,57,726,6.1,5,33.4
142,142,4,8/8/2023,59,442,6.7,6,32.3
143,143,4,8/9/2023,65,598,6.4,7,32.3
144,144,4,8/10/2023,57,549,6.5,8,22.7
145,145,4,8/11/2023,69,785,6.7,9,31.9
146,146,4,8/12/2023,66,762,6.3,10,30.2
147,147,4,8/13/2023,70,419,6.1,11,30.1
148,148,4,8/14/2023,64,525,6.2,12,30.1
149,149,4,8/15/2023,66,608,6.7,13,30.1
150,150,4,8/16/2023,52,458,6.3,14,29.8
151,151,4,8/17/2023,59,571,6.0,15,29.6
152,152,4,8/18/2023,57,747,6.7,16,30.9
153,153,4,8/19/2023,77,518,6.7,17,30.8
154,154,4,8/20/2023,66,490,6.3,18,30.9
155,155,4,8/21/2023,71,502,6.7,19,30.2
156,156,4,8/22/2023,58,631,6.1,20,30.5
157,157,4,8/23/2023,58,735,6.4,21,30.8
158,158,4,8/24/2023,73,418,6.7,22,31.3
159,159,4,8/25/2023,63,740,6.1,23,31.4
160,160,4,8/26/2023,53,402,6.7,24,31.4
161,161,4,8/27/2023,66,652,6.6,25,30.1
162,162,4,8/28/2023,56,437,6.7,26,29.4
163,163,4,8/29/2023,73,558,6.5,27,28.7
164,164,4,8/30/2023,71,525,6.6,28,29.1
165,165,4,8/31/2023,63,604,6.5,29,29.2
166,166,4,9/1/2023,68,787,6.6,30,31.7
167,167,4,9/2/2023,71,711,6.8,31,31.7
168,168,4,9/3/2023,69,546,6.3,32,31.7
169,169,4,9/4/2023,71,485,6.2,33,31.7
170,170,4,9/5/2023,71,497,6.7,34,32.0
171,171,4,9/6/2023,51,577,6.1,35,32.1
172,172,4,9/7/2023,60,647,6.5,36,31.5
173,173,4,9/8/2023,78,564,6.2,37,29.8
174,174,4,9/9/2023,51,530,6.2,38,20.1
175,175,4,9/10/2023,63,543,6.3,39,31.1
176,176,4,9/11/2023,50,491,6.2,40,31.2
177,177,4,9/12/2023,72,729,6.6,41,31.2
178,178,4,9/13/2023,64,698,6.1,42,30.4
179,179,4,9/14/2023,62,530,6.8,43,29.1
180,180,4,9/15/2023,58,764,6.4,44,30.6
181,181,4,9/16/2023,63,654,6.7,45,31.5
182,182,4,9/17/2023,71,652,6.8,46,31.3
183,183,4,9/18/2023,63,754,6.1,47,30.8
184,184,4,9/19/2023,62,641,6.2,48,30.6
185,185,5,8/3/2023,67,651,6.3,1,33.4
186,186,5,8/4/2023,53,684,6.6,2,33.5
187,187,5,8/5/2023,54,449,6.1,3,33.4
188,188,5,8/6/2023,76,572,6.6,4,33.4
189,189,5,8/7/2023,67,571,6.7,5,33.4
190,190,5,8/8/2023,50,481,6.5,6,32.3
191,191,5,8/9/2023,74,558,6.7,7,32.3
192,192,5,8/10/2023,59,652,6.5,8,22.7
193,193,5,8/11/2023,54,637,6.7,9,31.9
194,194,5,8/12/2023,77,417,6.8,10,30.2
195,195,5,8/13/2023,79,429,6.2,11,30.1
196,196,5,8/14/2023,63,500,6.5,12,30.1
197,197,5,8/15/2023,75,675,6.8,13,30.1
198,198,5,8/16/2023,78,624,6.3,14,29.8
199,199,5,8/17/2023,65,525,6.3,15,29.6
200,200,5,8/18/2023,78,778,6.0,16,30.9
201,201,5,8/19/2023,68,678,6.1,17,30.8
202,202,5,8/20/2023,57,502,6.7,18,30.9
203,203,5,8/21/2023,67,766,6.1,19,30.2
204,204,5,8/22/2023,78,722,6.2,20,30.5
205,205,5,8/23/2023,61,460,6.2,21,30.8
206,206,5,8/24/2023,57,587,6.5,22,31.3
207,207,5,8/25/2023,53,646,6.2,23,31.4
208,208,5,8/26/2023,55,749,6.7,24,31.4
209,209,5,8/27/2023,52,468,6.7,25,30.1
210,210,5,8/28/2023,67,470,6.4,26,29.4
211,211,5,8/29/2023,58,565,6.5,27,28.7
212,212,5,8/30/2023,75,516,6.5,28,29.1
213,213,5,8/31/2023,54,410,6.6,29,29.2
214,214,5,9/1/2023,66,763,6.1,30,31.7
215,215,5,9/2/2023,56,413,6.4,31,31.7
216,216,5,9/3/2023,67,468,6.2,32,31.7
217,217,5,9/4/2023,66,422,6.5,33,31.7
218,218,5,9/5/2023,66,661,6.2,34,32.0
219,219,5,9/6/2023,72,605,6.2,35,32.1
220,220,5,9/7/2023,70,768,6.8,36,31.5
221,221,5,9/8/2023,65,645,6.3,37,29.8
222,222,5,9/9/2023,54,661,6.3,38,20.1
223,223,5,9/10/2023,76,573,6.4,39,31.1
224,224,5,9/11/2023,52,471,6.7,40,31.2
225,225,5,9/12/2023,72,738,6.2,41,31.2
226,226,5,9/13/2023,60,529,6.1,42,30.4
227,227,5,9/14/2023,58,576,6.2,43,29.1
228,228,5,9/15/2023,77,453,6.1,44,30.6
229,229,5,9/16/2023,80,483,6.5,45,31.5
230,230,6,8/3/2023,66,795,6.1,1,33.4
231,231,6,8/4/2023,77,738,6.5,2,33.5
232,232,6,8/5/2023,66,662,6.4,3,33.4
233,233,6,8/6/2023,56,653,6.3,4,33.4
234,234,6,8/7/2023,62,521,6.7,5,33.4
235,235,6,8/8/2023,65,482,6.7,6,32.3
236,236,6,8/9/2023,60,620,6.6,7,32.3
237,237,6,8/10/2023,74,740,6.6,8,22.7
238,238,6,8/11/2023,73,760,6.3,9,31.9
239,239,6,8/12/2023,71,485,6.4,10,30.2
240,240,6,8/13/2023,59,648,6.1,11,30.1
241,241,6,8/14/2023,64,490,6.6,12,30.1
242,242,6,8/15/2023,74,425,6.1,13,30.1
243,243,6,8/16/2023,78,755,6.8,14,29.8
244,244,6,8/17/2023,50,437,6.6,15,29.6
245,245,6,8/18/2023,59,666,6.4,16,30.9
246,246,6,8/19/2023,58,583,6.6,17,30.8
247,247,6,8/20/2023,56,568,6.2,18,30.9
248,248,6,8/21/2023,73,662,6.2,19,30.2
249,249,6,8/22/2023,63,553,6.5,20,30.5
250,250,6,8/23/2023,54,474,6.7,21,30.8
251,251,6,8/24/2023,51,596,6.5,22,31.3
252,252,6,8/25/2023,73,614,6.7,23,31.4
253,253,6,8/26/2023,52,500,6.2,24,31.4
254,254,6,8/27/2023,51,474,6.2,25,30.1
255,255,6,8/28/2023,76,515,6.5,26,29.4
256,256,6,8/29/2023,65,693,6.0,27,28.7
257,257,6,8/30/2023,68,782,6.2,28,29.1
258,258,6,8/31/2023,59,626,6.6,29,29.2
259,259,6,9/1/2023,77,512,6.5,30,31.7
260,260,6,9/2/2023,77,742,6.5,31,31.7
261,261,6,9/3/2023,53,757,6.5,32,31.7
262,262,6,9/4/2023,77,456,6.8,33,31.7
263,263,6,9/5/2023,64,642,6.4,34,32.0
264,264,6,9/6/2023,61,517,6.7,35,32.1
265,265,6,9/7/2023,56,701,6.0,36,31.5
266,266,6,9/8/2023,74,793,6.7,37,29.8
267,267,6,9/9/2023,55,490,6.5,38,20.1
268,268,6,9/10/2023,71,555,6.2,39,31.1
269,269,6,9/11/2023,56,549,6.5,40,31.2
270,270,6,9/12/2023,57,793,6.4,41,31.2
271,271,6,9/13/2023,68,491,6.6,42,30.4
272,272,6,9/14/2023,68,789,6.2,43,29.1
273,273,6,9/15/2023,61,741,6.3,44,30.6
274,274,6,9/16/2023,71,591,6.4,45,31.5
275,275,7,8/3/2023,74,459,6.5,1,33.4
276,276,7,8/4/2023,78,598,6.3,2,33.5
277,277,7,8/5/2023,51,507,6.1,3,33.4
278,278,7,8/6/2023,58,583,6.1,4,33.4
279,279,7,8/7/2023,75,555,6.2,5,33.4
280,280,7,8/8/2023,61,684,6.7,6,32.3
281,281,7,8/9/2023,64,769,6.1,7,32.3
282,282,7,8/10/2023,70,566,6.0,8,22.7
283,283,7,8/11/2023,68,763,6.5,9,31.9
284,284,7,8/12/2023,80,782,6.5,10,30.2
285,285,7,8/13/2023,68,432,6.4,11,30.1
286,286,7,8/14/2023,56,676,6.8,12,30.1
287,287,7,8/15/2023,52,780,6.5,13,30.1
288,288,7,8/16/2023,53,778,6.1,14,29.8
289,289,7,8/17/2023,58,491,6.6,15,29.6
290,290,7,8/18/2023,72,536,6.8,16,30.9
291,291,7,8/19/2023,60,701,6.3,17,30.8
292,292,7,8/20/2023,77,730,6.4,18,30.9
293,293,7,8/21/2023,51,619,6.3,19,30.2
294,294,7,8/22/2023,71,503,6.2,20,30.5
295,295,7,8/23/2023,58,503,6.2,21,30.8
296,296,7,8/24/2023,57,552,6.1,22,31.3
297,297,7,8/25/2023,77,617,6.5,23,31.4
298,298,7,8/26/2023,61,640,6.6,24,31.4
299,299,7,8/27/2023,55,600,6.5,25,30.1
300,300,7,8/28/2023,79,670,6.7,26,29.4
301,301,7,8/29/2023,63,541,6.0,27,28.7
302,302,7,8/30/2023,62,498,6.5,28,29.1
303,303,7,8/31/2023,80,426,6.6,29,29.2
304,304,7,9/1/2023,52,583,6.5,30,31.7
305,305,7,9/2/2023,67,696,6.7,31,31.7
306,306,7,9/3/2023,71,781,6.6,32,31.7
307,307,7,9/4/2023,79,436,6.7,33,31.7
308,308,7,9/5/2023,78,466,6.6,34,32.0
309,309,7,9/6/2023,76,472,6.5,35,32.1
310,310,7,9/7/2023,54,749,6.8,36,31.5
311,311,7,9/8/2023,54,645,6.4,37,29.8
312,312,7,9/9/2023,63,555,6.2,38,20.1
313,313,7,9/10/2023,53,545,6.2,39,31.1
314,314,7,9/11/2023,53,800,6.7,40,31.2
315,315,7,9/12/2023,52,468,6.7,41,31.2
316,316,7,9/13/2023,52,777,6.6,42,30.4
317,317,7,9/14/2023,60,459,6.6,43,29.1
318,318,7,9/15/2023,69,787,6.0,44,30.6
319,319,7,9/16/2023,72,508,6.3,45,31.5
320,320,7,9/17/2023,62,696,6.5,46,29.1
321,321,7,9/18/2023,58,600,6.2,47,30.5
322,322,8,8/3/2023,76,650,6.0,1,33.4
323,323,8,8/4/2023,77,457,6.3,2,33.5
324,324,8,8/5/2023,72,454,6.7,3,33.4
325,325,8,8/6/2023,71,673,6.4,4,33.4
326,326,8,8/7/2023,78,700,6.0,5,33.4
327,327,8,8/8/2023,63,588,6.7,6,32.3
328,328,8,8/9/2023,59,434,6.4,7,32.3
329,329,8,8/10/2023,60,708,6.6,8,22.7
330,330,8,8/11/2023,64,699,6.6,9,31.9
331,331,8,8/12/2023,55,403,6.6,10,30.2
332,332,8,8/13/2023,77,606,6.3,11,30.1
333,333,8,8/14/2023,57,763,6.3,12,30.1
334,334,8,8/15/2023,59,727,6.2,13,30.1
335,335,8,8/16/2023,51,649,6.4,14,29.8
336,336,8,8/17/2023,74,586,6.5,15,29.6
337,337,8,8/18/2023,70,415,6.6,16,30.9
338,338,8,8/19/2023,62,422,6.4,17,30.8
339,339,8,8/20/2023,76,781,6.5,18,30.9
340,340,8,8/21/2023,79,742,6.7,19,30.2
341,341,8,8/22/2023,53,715,6.1,20,30.5
342,342,8,8/23/2023,59,411,6.0,21,30.8
343,343,8,8/24/2023,67,553,6.1,22,31.3
344,344,8,8/25/2023,73,565,6.2,23,31.4
345,345,8,8/26/2023,79,619,6.3,24,31.4
346,346,8,8/27/2023,68,542,6.7,25,30.1
347,347,8,8/28/2023,54,559,6.2,26,29.4
348,348,8,8/29/2023,78,779,6.5,27,28.7
349,349,8,8/30/2023,72,630,6.4,28,29.1
350,350,8,8/31/2023,55,483,6.4,29,29.2
351,351,8,9/1/2023,61,775,6.6,30,31.7
352,352,8,9/2/2023,54,458,6.6,31,31.7
353,353,8,9/3/2023,76,438,6.5,32,31.7
354,354,8,9/4/2023,63,538,6.4,33,31.7
355,355,8,9/5/2023,75,697,6.7,34,32.0
356,356,8,9/6/2023,50,605,6.4,35,32.1
357,357,8,9/7/2023,75,555,6.6,36,31.5
358,358,8,9/8/2023,75,484,6.2,37,29.8
359,359,8,9/9/2023,69,763,6.8,38,20.1
360,360,8,9/10/2023,75,698,6.7,39,31.1
361,361,8,9/11/2023,76,720,6.5,40,31.2
362,362,8,9/12/2023,51,768,6.1,41,31.2
363,363,8,9/13/2023,78,472,6.2,42,30.4
364,364,8,9/14/2023,51,458,6.2,43,29.1
365,365,8,9/15/2023,50,632,6.2,44,30.6
366,366,8,9/16/2023,65,546,6.2,45,31.5
367,367,9,8/3/2023,72,693,6.4,1,33.4
368,368,9,8/4/2023,80,434,6.0,2,33.5
369,369,9,8/5/2023,70,671,6.3,3,33.4
370,370,9,8/6/2023,64,613,6.1,4,33.4
371,371,9,8/7/2023,79,731,6.3,5,33.4
372,372,9,8/8/2023,70,658,6.3,6,32.3
373,373,9,8/9/2023,62,538,6.6,7,32.3
374,374,9,8/10/2023,72,455,6.2,8,22.7
375,375,9,8/11/2023,62,646,6.7,9,31.9
376,376,9,8/12/2023,74,563,6.8,10,30.2
377,377,9,8/13/2023,80,791,6.4,11,30.1
378,378,9,8/14/2023,72,473,6.6,12,30.1
379,379,9,8/15/2023,52,602,6.3,13,30.1
380,380,9,8/16/2023,66,613,6.3,14,29.8
381,381,9,8/17/2023,63,613,6.7,15,29.6
382,382,9,8/18/2023,79,569,6.4,16,30.9
383,383,9,8/19/2023,73,610,6.5,17,30.8
384,384,9,8/20/2023,57,746,6.2,18,30.9
385,385,9,8/21/2023,66,607,6.1,19,30.2
386,386,9,8/22/2023,71,464,6.3,20,30.5
387,387,9,8/23/2023,70,474,6.1,21,30.8
388,388,9,8/24/2023,59,461,6.1,22,31.3
389,389,9,8/25/2023,61,667,6.2,23,31.4
390,390,9,8/26/2023,69,721,6.1,24,31.4
391,391,9,8/27/2023,50,775,6.6,25,30.1
392,392,9,8/28/2023,74,445,6.1,26,29.4
393,393,9,8/29/2023,78,635,6.5,27,28.7
394,394,9,8/30/2023,73,684,6.7,28,29.1
395,395,9,8/31/2023,54,784,6.0,29,29.2
396,396,9,9/1/2023,66,597,6.1,30,31.7
397,397,9,9/2/2023,77,501,6.4,31,31.7
398,398,9,9/3/2023,55,490,6.4,32,31.7
399,399,9,9/4/2023,55,468,6.2,33,31.7
400,400,9,9/5/2023,66,680,6.4,34,32.0
401,401,9,9/6/2023,70,561,6.7,35,32.1
402,402,9,9/7/2023,54,697,6.0,36,31.5
403,403,9,9/8/2023,61,629,6.7,37,29.8
404,404,9,9/9/2023,66,644,6.4,38,20.1
405,405,9,9/10/2023,69,726,6.7,39,31.1
406,406,9,9/11/2023,65,573,6.2,40,31.2
407,407,9,9/12/2023,80,793,6.6,41,31.2
408,408,9,9/13/2023,51,663,6.5,42,30.4
409,409,9,9/14/2023,67,516,6.3,43,29.1
410,410,9,9/15/2023,58,455,6.7,44,30.6
411,411,9,9/16/2023,78,722,6.1,45,31.5
412,412,9,9/17/2023,66,505,6.2,46,31.3
413,413,10,8/3/2023,66,503,6.5,1,33.4
414,414,10,8/4/2023,58,414,6.5,2,33.5
415,415,10,8/5/2023,76,679,6.1,3,33.4
416,416,10,8/6/2023,56,607,6.4,4,33.4
417,417,10,8/7/2023,53,527,6.3,5,33.4
418,418,10,8/8/2023,75,658,6.3,6,32.3
419,419,10,8/9/2023,72,623,6.7,7,32.3
420,420,10,8/10/2023,74,778,6.6,8,22.7
421,421,10,8/11/2023,67,512,6.4,9,31.9
422,422,10,8/12/2023,60,800,6.7,10,30.2
423,423,10,8/13/2023,52,471,6.2,11,30.1
424,424,10,8/14/2023,62,552,6.8,12,30.1
425,425,10,8/15/2023,74,701,6.6,13,30.1
426,426,10,8/16/2023,51,594,6.5,14,29.8
427,427,10,8/17/2023,73,419,6.2,15,29.6
428,428,10,8/18/2023,73,579,6.1,16,30.9
429,429,10,8/19/2023,50,493,6.0,17,30.8
430,430,10,8/20/2023,53,721,6.4,18,30.9
431,431,10,8/21/2023,77,778,6.2,19,30.2
432,432,10,8/22/2023,67,668,6.8,20,30.5
433,433,10,8/23/2023,57,609,6.6,21,30.8
434,434,10,8/24/2023,64,746,6.3,22,31.3
435,435,10,8/25/2023,79,725,6.2,23,31.4
436,436,10,8/26/2023,60,593,6.3,24,31.4
437,437,10,8/27/2023,77,560,6.5,25,30.1
438,438,10,8/28/2023,74,597,6.6,26,29.4
439,439,10,8/29/2023,56,613,6.6,27,28.7
440,440,10,8/30/2023,59,704,6.5,28,29.1
441,441,10,8/31/2023,54,585,6.5,29,29.2
442,442,10,9/1/2023,59,616,6.1,30,31.7
443,443,10,9/2/2023,78,697,6.4,31,31.7
444,444,10,9/3/2023,71,623,6.1,32,31.7
445,445,10,9/4/2023,69,649,6.4,33,31.7
446,446,10,9/5/2023,72,440,6.2,34,32.0
447,447,10,9/6/2023,72,469,6.3,35,32.1
448,448,10,9/7/2023,72,603,6.4,36,31.5
449,449,10,9/8/2023,57,440,6.6,37,29.8
450,450,10,9/9/2023,69,648,6.7,38,20.1
451,451,10,9/10/2023,68,538,6.7,39,31.1
452,452,10,9/11/2023,71,586,6.1,40,31.2
453,453,10,9/12/2023,58,794,6.6,41,31.2
454,454,10,9/13/2023,69,674,6.3,42,30.4
455,455,10,9/14/2023,63,782,6.5,43,29.1
456,456,10,9/15/2023,78,578,6.3,44,30.6
457,457,10,9/16/2023,67,638,6.2,45,31.5
458,458,11,8/3/2023,57,695,6.1,1,33.4
459,459,11,8/4/2023,63,706,6.6,2,33.5
460,460,11,8/5/2023,63,716,6.6,3,33.4
461,461,11,8/6/2023,50,734,6.4,4,33.4
462,462,11,8/7/2023,55,431,6.2,5,33.4
463,463,11,8/8/2023,54,730,6.7,6,32.3
464,464,11,8/9/2023,69,529,6.3,7,32.3
465,465,11,8/10/2023,56,489,6.4,8,22.7
466,466,11,8/11/2023,58,514,6.2,9,31.9
467,467,11,8/12/2023,51,752,6.2,10,30.2
468,468,11,8/13/2023,74,557,6.2,11,30.1
469,469,11,8/14/2023,50,620,6.1,12,30.1
470,470,11,8/15/2023,64,511,6.5,13,30.1
471,471,11,8/16/2023,74,462,6.6,14,29.8
472,472,11,8/17/2023,75,760,6.4,15,29.6
473,473,11,8/18/2023,80,704,6.6,16,30.9
474,474,11,8/19/2023,76,466,6.1,17,30.8
475,475,11,8/20/2023,61,565,6.4,18,30.9
476,476,11,8/21/2023,75,602,6.2,19,30.2
477,477,11,8/22/2023,71,602,6.7,20,30.5
478,478,11,8/23/2023,53,537,6.7,21,30.8
479,479,11,8/24/2023,76,620,6.6,22,31.3
480,480,11,8/25/2023,75,539,6.5,23,31.4
481,481,11,8/26/2023,79,509,6.3,24,31.4
482,482,11,8/27/2023,76,489,6.3,25,30.1
483,483,11,8/28/2023,52,589,6.1,26,29.4
484,484,11,8/29/2023,72,695,6.5,27,28.7
485,485,11,8/30/2023,69,421,6.1,28,29.1
486,486,11,8/31/2023,62,402,6.7,29,29.2
487,487,11,9/1/2023,55,765,6.5,30,31.7
488,488,11,9/2/2023,67,473,6.7,31,31.7
489,489,11,9/3/2023,54,749,6.3,32,31.7
490,490,11,9/4/2023,76,452,6.3,33,31.7
491,491,11,9/5/2023,63,539,6.6,34,32.0
492,492,11,9/6/2023,56,519,6.7,35,32.1
493,493,11,9/7/2023,80,424,6.6,36,31.5
494,494,11,9/8/2023,57,476,6.3,37,29.8
495,495,11,9/9/2023,50,662,6.0,38,20.1
496,496,11,9/10/2023,67,552,6.5,39,31.1
497,497,11,9/11/2023,52,671,6.4,40,31.2
498,498,11,9/12/2023,66,402,6.6,41,31.2
499,499,11,9/13/2023,60,690,6.3,42,30.4
500,500,11,9/14/2023,55,660,6.3,43,29.1
501,501,11,9/15/2023,63,692,6.1,44,30.6
502,502,11,9/16/2023,79,508,6.5,45,31.5
503,503,11,9/17/2023,62,589,6.4,46,32.1
504,504,11,9/18/2023,75,519,6.3,47,31.2
505,505,12,8/3/2023,77,611,6.2,1,33.4
506,506,12,8/4/2023,58,442,6.7,2,33.5
507,507,12,8/5/2023,75,756,6.6,3,33.4
508,508,12,8/6/2023,60,732,6.1,4,33.4
509,509,12,8/7/2023,71,640,6.3,5,33.4
510,510,12,8/8/2023,71,515,6.6,6,32.3
511,511,12,8/9/2023,60,435,6.4,7,32.3
512,512,12,8/10/2023,58,517,6.2,8,22.7
513,513,12,8/11/2023,55,602,6.2,9,31.9
